-2500.00,0.00,0.00,0.00,-2677.34,-797.85,6.46,2.46,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
-2499.59,0.00,0.29,0.00,-2676.25,-797.45,6.22,2.43,1.45,0.00,1.03,0.00,4.29,1.48,-0.93,-0.14
-2498.60,0.00,0.99,0.00,-2672.78,-796.49,5.48,2.34,2.73,0.00,1.89,0.00,8.86,2.01,-1.89,-0.21
-2496.99,0.00,2.08,0.00,-2666.60,-795.65,4.16,2.22,4.03,0.00,2.68,0.00,13.06,0.89,-2.81,-0.22
-2494.73,0.00,3.53,0.00,-2659.74,-795.74,2.65,2.12,5.35,0.00,3.38,0.00,15.62,-1.16,-3.48,-0.21
-2492.35,0.00,5.00,0.00,-2650.76,-797.25,1.18,2.02,6.44,0.00,3.87,0.00,17.31,-4.21,-2.14,-0.19
-2488.26,0.00,7.35,0.00,-2642.74,-799.85,0.46,1.93,7.97,0.00,4.43,0.00,17.81,-6.99,-1.15,-0.18
-2483.65,0.00,9.80,0.00,-2635.60,-801.46,0.17,1.85,9.39,0.00,4.82,0.00,15.31,-0.90,-0.26,-0.19
-2478.43,0.00,12.37,0.00,-2629.77,-800.54,0.24,1.77,10.74,0.00,5.11,0.00,14.12,4.91,0.54,-0.20
-2472.73,0.00,14.97,0.00,-2623.00,-796.17,0.77,1.68,12.04,0.00,5.31,0.00,13.59,12.16,1.49,-0.19
-2467.25,0.00,17.31,0.00,-2615.72,-787.33,1.85,1.58,13.15,0.00,5.44,0.00,13.87,20.18,2.44,-0.16
-2460.73,0.00,19.90,0.00,-2609.72,-774.35,3.37,1.54,14.33,0.00,5.55,0.00,9.52,28.56,3.25,-0.01
-2452.28,0.00,23.04,0.00,-2605.99,-756.95,5.27,1.56,15.70,0.00,5.64,0.00,5.02,37.02,3.90,0.09
-2444.97,0.00,25.59,0.00,-2604.90,-735.57,7.44,1.62,16.77,0.00,5.69,0.00,-0.39,44.66,4.42,0.11
-2436.36,0.00,28.41,0.00,-2605.49,-717.08,9.20,1.65,17.93,0.00,5.73,0.00,-2.39,50.93,4.72,0.06
-2428.25,0.00,30.94,0.00,-2606.32,-690.86,11.56,1.66,18.92,0.00,5.76,0.00,-0.82,56.99,5.01,-0.04
-2418.79,0.00,33.73,0.00,-2605.52,-656.63,14.48,1.61,19.99,0.00,5.78,0.00,3.47,63.13,5.27,-0.09
-2409.09,0.00,36.46,0.00,-2603.66,-626.23,16.94,1.58,21.01,0.00,5.79,0.00,4.42,68.59,5.42,-0.05
-2397.64,0.00,39.54,0.00,-2601.23,-589.59,19.75,1.56,22.11,0.00,5.81,0.00,4.98,73.91,5.54,-0.03
-2386.23,0.00,42.46,0.00,-2598.74,-553.09,22.42,1.55,23.11,0.00,5.81,0.00,5.39,78.14,5.62,-0.02
-2375.48,0.00,45.11,0.00,-2595.44,-505.96,25.73,1.54,23.99,0.00,5.82,0.00,5.83,82.41,5.69,-0.02
-2364.43,0.00,47.74,0.00,-2592.51,-465.02,28.52,1.53,24.84,0.00,5.82,0.00,6.17,85.24,5.73,-0.01
-2350.81,0.00,50.87,0.00,-2589.28,-429.95,30.88,1.52,25.80,0.00,5.83,0.00,9.52,85.73,5.76,-0.07
-2338.22,0.00,53.66,0.00,-2583.31,-381.10,34.12,1.49,26.63,0.00,5.83,0.00,11.26,87.72,5.78,-0.03
-2321.59,0.00,57.23,0.00,-2576.54,-337.61,37.00,1.46,27.64,0.00,5.83,0.00,15.76,87.12,5.80,-0.08
-2308.63,0.00,59.92,0.00,-2568.25,-298.13,39.65,1.42,28.37,0.00,5.83,0.00,20.11,86.05,5.81,-0.08
-2291.86,0.00,63.31,0.00,-2556.91,-255.22,42.57,1.38,29.24,0.00,5.83,0.00,24.42,84.53,5.81,-0.09
-2278.34,0.00,65.97,0.00,-2543.27,-212.42,45.55,1.33,29.89,0.00,5.83,0.00,28.39,82.67,5.82,-0.09
-2261.32,0.00,69.25,0.00,-2526.56,-167.90,48.74,1.29,30.66,0.00,5.83,0.00,32.28,80.40,5.82,-0.09
-2246.85,0.00,71.97,0.00,-2507.60,-124.29,51.96,1.24,31.27,0.00,5.83,0.00,35.98,77.80,5.83,-0.09
-2232.68,0.00,74.59,0.00,-2490.50,-89.50,54.61,1.20,31.83,0.00,5.83,0.00,38.89,75.42,5.83,-0.09
-2213.27,0.00,78.10,0.00,-2474.22,-59.56,56.96,1.16,32.54,0.00,5.83,0.00,41.44,73.08,5.83,-0.09
-2197.11,0.00,80.97,0.00,-2451.96,-23.44,60.06,1.11,33.08,0.00,5.83,0.00,42.27,64.02,5.83,-0.10
-2184.17,0.00,83.24,0.00,-2428.97,8.24,63.19,1.05,33.50,0.00,5.83,0.00,43.22,55.02,5.83,-0.11
-2166.49,0.00,86.29,0.00,-2405.74,34.82,66.28,0.99,34.03,0.00,5.83,0.00,44.05,46.06,5.83,-0.13
-2148.46,0.00,89.35,0.00,-2384.33,54.65,69.09,0.92,34.53,0.00,5.83,0.00,44.67,37.28,5.83,-0.15
-2127.97,0.00,92.78,0.00,-2356.70,74.01,72.71,0.82,35.07,0.00,5.83,0.00,44.23,26.45,5.83,-0.16
-2113.69,0.00,95.15,0.00,-2335.40,84.77,75.56,0.74,35.41,0.00,5.83,0.00,42.90,18.48,5.83,-0.17
-2098.05,0.00,97.71,0.00,-2319.23,90.68,77.80,0.68,35.77,0.00,5.83,0.00,41.26,12.88,5.83,-0.17
-2079.12,0.00,100.78,0.00,-2300.76,95.07,80.50,0.60,36.18,0.00,5.83,0.00,38.80,6.77,5.83,-0.18
-2060.53,0.00,103.76,0.00,-2283.25,96.69,83.25,0.51,36.55,0.00,5.83,0.00,35.77,0.81,5.83,-0.19
-2043.09,0.00,106.53,0.00,-2268.11,95.82,85.85,0.43,36.88,0.00,5.83,0.00,32.41,-4.14,5.83,-0.19
-2025.76,0.00,109.25,0.00,-2252.49,92.25,88.88,0.32,37.18,0.00,5.83,0.00,28.02,-9.01,5.83,-0.20
-2008.78,0.00,111.91,0.00,-2239.78,86.70,91.78,0.22,37.46,0.00,5.83,0.00,23.48,-12.79,5.83,-0.20
-1985.30,0.00,115.54,0.00,-2229.20,79.37,94.74,0.12,37.82,0.00,5.83,0.00,18.63,-15.69,5.83,-0.21
-1962.74,0.00,119.01,0.00,-2222.24,72.36,97.21,0.03,38.14,0.00,5.83,0.00,14.65,-17.24,5.83,-0.21
-1945.45,0.00,121.64,0.00,-2216.24,63.67,100.07,-0.07,38.37,0.00,5.83,0.00,10.30,-18.14,5.83,-0.20
-1926.19,0.00,124.56,0.00,-2212.03,53.95,103.17,-0.17,38.61,0.00,5.83,0.00,5.94,-18.30,5.83,-0.20
-1908.26,0.00,127.26,0.00,-2210.13,45.50,105.91,-0.27,38.82,0.00,5.83,0.00,2.57,-17.81,5.83,-0.19
-1887.77,0.00,130.33,0.00,-2208.26,37.15,108.57,-0.35,39.05,0.00,5.83,0.00,5.31,-18.77,5.83,-0.18
-1868.71,0.00,133.17,0.00,-2204.18,28.74,111.44,-0.40,39.24,0.00,5.83,0.00,10.85,-15.99,5.83,-0.03
-1847.02,0.00,136.38,0.00,-2198.41,21.80,114.55,-0.39,39.45,0.00,5.83,0.00,10.82,-10.66,5.83,0.09
-1831.36,0.00,138.69,0.00,-2192.99,17.75,117.49,-0.32,39.59,0.00,5.83,0.00,10.67,-5.91,5.83,0.15
-1810.77,0.00,141.72,0.00,-2187.50,15.81,119.88,-0.26,39.76,0.00,5.83,0.00,15.52,-3.67,5.83,0.16
-1783.71,0.00,145.68,0.00,-2176.57,14.89,123.23,-0.17,39.97,0.00,5.83,0.00,21.85,0.20,5.83,0.16
-1769.52,0.00,147.75,0.00,-2164.85,15.87,126.01,-0.09,40.07,0.00,5.83,0.00,26.66,3.62,5.83,0.14
-1748.17,0.00,150.85,0.00,-2150.69,18.54,128.85,-0.03,40.22,0.00,5.83,0.00,31.09,7.00,5.83,0.13
-1730.24,0.00,153.44,0.00,-2132.51,22.39,131.92,0.02,40.33,0.00,5.83,0.00,37.25,7.50,5.83,0.07
-1713.36,0.00,155.88,0.00,-2115.21,25.12,134.49,0.03,40.43,0.00,5.83,0.00,41.07,4.98,5.83,-0.03
-1690.77,0.00,159.13,0.00,-2089.85,26.48,137.87,-0.01,40.56,0.00,5.83,0.00,45.88,-0.07,5.83,-0.10
-1668.25,0.00,162.37,0.00,-2065.90,25.90,140.73,-0.05,40.68,0.00,5.83,0.00,50.99,-1.97,5.83,-0.05
-1646.04,0.00,165.55,0.00,-2036.79,24.36,143.89,-0.07,40.79,0.00,5.83,0.00,56.13,-3.51,5.83,-0.03
-1626.81,0.00,168.29,0.00,-2005.83,22.13,146.96,-0.08,40.88,0.00,5.83,0.00,60.62,-4.76,5.83,-0.02
-1608.72,0.00,170.87,0.00,-1976.51,20.52,149.72,-0.08,40.96,0.00,5.83,0.00,63.07,-1.94,5.83,0.06
-1588.55,0.00,173.74,0.00,-1943.55,20.86,152.71,-0.03,41.04,0.00,5.83,0.00,65.28,2.89,5.83,0.09
-1570.69,0.00,176.28,0.00,-1913.07,22.55,155.37,-0.00,41.10,0.00,5.83,0.00,68.12,4.22,5.83,0.05
-1548.28,0.00,179.45,0.00,-1881.32,24.67,158.04,0.01,41.18,0.00,5.83,0.00,70.65,4.92,5.83,0.03
-1527.61,0.00,182.38,0.00,-1843.65,26.32,161.12,0.00,41.25,0.00,5.83,0.00,71.76,1.15,5.83,-0.07
-1508.80,0.00,185.04,0.00,-1808.23,25.31,163.98,-0.04,41.31,0.00,5.83,0.00,72.34,-4.81,5.83,-0.10
-1483.11,0.00,188.66,0.00,-1766.78,20.32,167.33,-0.09,41.39,0.00,5.83,0.00,72.28,-11.82,5.83,-0.10
-1462.91,0.00,191.50,0.00,-1733.41,15.18,170.01,-0.11,41.44,0.00,5.83,0.00,72.76,-10.11,5.83,0.02
-1441.79,0.00,194.47,0.00,-1694.63,11.24,173.10,-0.08,41.49,0.00,5.83,0.00,73.50,-4.91,5.83,0.08
-1419.97,0.00,197.54,0.00,-1660.48,10.34,175.80,-0.04,41.55,0.00,5.83,0.00,73.81,0.50,5.83,0.09
-1400.46,0.00,200.28,0.00,-1619.59,11.33,179.00,-0.00,41.59,0.00,5.83,0.00,75.35,2.60,5.83,0.04
-1377.68,0.00,203.47,0.00,-1584.04,12.81,181.73,0.01,41.64,0.00,5.83,0.00,76.36,3.54,5.83,0.03
-1353.63,0.00,206.84,0.00,-1549.59,13.07,184.49,-0.01,41.68,0.00,5.83,0.00,69.78,-2.55,5.83,-0.11
-1334.23,0.00,209.55,0.00,-1518.91,9.56,187.21,-0.07,41.72,0.00,5.83,0.00,62.56,-11.49,5.83,-0.14
-1313.01,0.00,212.52,0.00,-1486.26,3.96,190.24,-0.10,41.75,0.00,5.83,0.00,63.26,-9.62,5.83,0.02
-1292.02,0.00,215.45,0.00,-1451.17,0.12,193.45,-0.07,41.78,0.00,5.83,0.00,64.24,-4.48,5.83,0.09
-1270.92,0.00,218.39,0.00,-1423.17,-0.66,195.98,-0.03,41.82,0.00,5.83,0.00,64.72,0.44,5.83,0.10
-1270.92,0.00,218.39,0.00,-1356.17,1.79,201.86,0.03,41.82,0.00,5.83,0.00,67.75,3.64,5.83,0.03
-1230.04,0.00,224.09,0.00,-1356.17,1.79,201.86,0.03,41.87,0.00,5.83,0.00,67.75,3.64,5.83,0.03
-1213.42,0.00,226.40,0.00,-1324.17,3.70,204.59,0.04,41.89,0.00,5.83,0.00,68.87,4.40,5.83,0.02
-1191.04,0.00,229.52,0.00,-1288.53,6.20,207.72,0.05,41.92,0.00,5.83,0.00,64.41,4.82,5.83,0.02
-1170.54,0.00,232.37,0.00,-1255.38,8.84,210.83,0.06,41.94,0.00,5.83,0.00,60.45,5.06,5.83,0.01
-1147.74,0.00,235.54,0.00,-1228.67,11.17,213.49,0.06,41.96,0.00,5.83,0.00,57.38,5.17,5.83,0.01
-1126.88,0.00,238.44,0.00,-1199.32,13.93,216.57,0.07,41.98,0.00,5.83,0.00,54.12,5.25,5.83,0.01
-1107.59,0.00,241.12,0.00,-1170.91,16.78,219.73,0.08,42.00,0.00,5.83,0.00,51.06,5.27,5.83,0.01
-1086.57,0.00,244.04,0.00,-1148.94,19.10,222.30,0.08,42.01,0.00,5.83,0.00,48.77,5.26,5.83,0.01
-1066.49,0.00,246.83,0.00,-1126.48,21.59,225.06,0.08,42.03,0.00,5.83,0.00,46.49,5.24,5.83,0.01
-1047.78,0.00,249.42,0.00,-1100.60,24.58,228.41,0.09,42.04,0.00,5.83,0.00,43.91,5.19,5.83,0.01
-1023.07,0.00,252.85,0.00,-1079.38,27.14,231.30,0.09,42.06,0.00,5.83,0.00,41.85,5.13,5.83,0.01
-1005.78,0.00,254.90,0.00,-1059.71,29.59,234.12,0.10,42.07,0.00,4.37,0.00,39.98,5.06,5.83,0.01
-985.18,0.00,256.66,0.00,-1039.86,32.15,237.09,0.10,42.08,0.00,2.98,0.00,38.12,4.99,5.83,0.01
-963.75,0.00,257.83,0.00,-1017.82,35.09,240.56,0.10,42.09,0.00,1.79,0.00,36.09,4.89,5.83,0.01
-940.22,0.00,258.47,0.00,-998.74,37.72,243.73,0.11,42.10,0.00,0.61,0.00,34.35,4.80,5.83,0.01
-920.62,0.00,258.51,0.00,-980.41,40.32,246.93,0.11,42.11,0.00,-0.32,0.00,32.70,4.70,5.83,0.01
-902.89,0.00,258.19,0.00,-963.57,42.78,250.01,0.11,42.12,0.00,-1.15,0.00,31.20,4.60,5.83,0.01
-880.64,0.00,257.29,0.00,-948.91,44.97,252.82,0.12,42.13,0.00,-2.12,0.00,29.90,4.52,5.83,0.01
-858.47,0.00,255.92,0.00,-936.10,47.46,255.44,0.13,42.14,0.00,-2.98,0.00,27.39,6.48,5.83,0.07
-839.52,0.00,254.43,0.00,-924.96,50.26,257.87,0.16,42.15,0.00,-3.59,0.00,26.26,6.88,5.83,0.05
-818.44,0.00,252.47,0.00,-911.39,54.00,260.40,0.18,42.16,0.00,-4.16,0.00,24.91,7.13,3.99,0.04
-795.69,0.00,250.08,0.00,-897.77,59.03,262.24,0.22,42.16,0.00,-4.63,0.00,21.50,9.67,2.43,0.10
-772.51,0.00,247.42,0.00,-889.26,63.54,263.05,0.27,42.17,0.00,-4.98,0.00,18.91,11.43,1.49,0.11
-750.18,0.00,245.27,0.00,-880.23,70.11,263.51,0.33,42.18,0.00,-3.36,0.00,15.59,13.17,0.39,0.12
-728.59,0.00,243.92,0.00,-872.28,74.31,263.40,0.31,42.18,0.00,-2.10,0.00,13.60,2.88,-0.70,-0.18
